country,key,value,date
fr,latin,987215,2017-12-24
fr,latin,577353,2017-12-31
fr,pop,22185400,2017-01-01
fr,pop,23589709,2017-01-08
fr,pop,23527691,2017-01-15
fr,pop,24258379,2017-01-22
fr,pop,26441086,2017-01-29
fr,pop,27296568,2017-02-05
fr,pop,28320519,2017-02-12
fr,pop,27589548,2017-02-19
fr,pop,28390560,2017-02-26
fr,pop,30619470,2017-03-05
fr,pop,28873131,2017-03-12
fr,pop,26988855,2017-03-19
fr,pop,30917424,2017-03-26
fr,pop,33390292,2017-04-02
fr,pop,30399865,2017-04-09
fr,pop,26891730,2017-04-16
fr,pop,24602858,2017-04-23
fr,pop,22829882,2017-04-30
fr,pop,23556961,2017-05-07
fr,pop,20982966,2017-05-14
fr,pop,20381952,2017-05-21
fr,pop,11125302,2017-05-28
fr,pop,21135090,2017-06-04
fr,pop,22128741,2017-06-11
fr,pop,22462514,2017-06-18
fr,pop,23971487,2017-06-25
fr,pop,26526036,2017-07-02
fr,pop,23874145,2017-07-09
fr,pop,22153968,2017-07-16
fr,pop,22009149,2017-07-23
fr,pop,21244014,2017-07-30
fr,pop,19827276,2017-08-06
fr,pop,18746495,2017-08-13
fr,pop,20904576,2017-08-20
fr,pop,22611892,2017-08-27
